"datetime","wtr_0","wtr_2","wtr_4","wtr_6","wtr_8","wtr_10","wtr_15","wtr_20","wtr_30","wtr_55"
2022-10-08 00:00:00,24.363,24.098,24.098,24.05,24.05,24.05,23.785,23.617,23.521,23.424
2022-10-08 01:00:00,24.243,24.146,24.074,24.05,24.074,24.074,23.761,23.617,23.521,23.424
2022-10-08 02:00:00,24.122,24.219,24.171,24.05,24.002,24.002,23.761,23.617,23.497,23.424
2022-10-08 03:00:00,24.098,24.291,24.195,24.05,24.074,24.026,23.785,23.641,23.497,23.424
2022-10-08 04:00:00,24.05,24.388,24.243,24.122,24.074,24.002,23.809,23.665,23.545,23.424
2022-10-08 05:00:00,24.098,24.388,24.171,24.074,24.074,24.05,23.857,23.665,23.545,23.424
2022-10-08 06:00:00,24.243,24.508,24.219,24.074,24.074,24.002,23.833,23.665,23.545,23.424
2022-10-08 07:00:00,24.436,24.484,24.195,24.05,24.05,23.978,23.785,23.689,23.545,23.424
2022-10-08 08:00:00,24.919,24.484,24.195,24.05,24.074,24.002,23.785,23.737,23.545,23.424
2022-10-08 09:00:00,25.671,24.363,24.122,24.026,24.002,23.978,23.809,23.713,23.521,23.424
2022-10-08 10:00:00,25.866,24.267,24.098,24.026,24.002,23.978,23.809,23.713,23.521,23.424
2022-10-08 11:00:00,25.987,24.219,24.122,24.026,24.05,24.026,23.809,23.713,23.521,23.424
2022-10-08 12:00:00,25.574,24.412,24.098,23.978,23.905,23.905,23.737,23.689,23.569,23.424
2022-10-08 13:00:00,25.21,24.219,24.074,23.881,23.881,23.833,23.737,23.665,23.521,23.4
2022-10-08 14:00:00,25.016,24.195,24.05,23.881,23.881,23.905,23.737,23.641,23.521,23.4
2022-10-08 15:00:00,24.847,24.243,24.05,23.881,23.881,23.857,23.737,23.617,23.521,23.4
2022-10-08 16:00:00,24.508,24.291,24.05,23.954,23.905,23.881,23.689,23.593,23.497,23.4
2022-10-08 17:00:00,25.331,24.267,24.05,23.954,23.905,23.881,23.713,23.593,23.472,23.4
2022-10-08 18:00:00,25.623,24.195,24.026,23.905,23.905,23.833,23.713,23.593,23.472,23.4
2022-10-08 19:00:00,25.065,24.074,24.05,23.881,23.905,23.857,23.713,23.593,23.472,23.4
2022-10-08 20:00:00,24.484,24.002,24.002,23.881,23.905,23.857,23.713,23.617,23.472,23.4
2022-10-08 21:00:00,24.315,23.954,23.954,23.93,23.93,23.93,23.761,23.617,23.472,23.424
2022-10-08 22:00:00,24.171,24.122,24.122,24.074,24.026,24.026,23.833,23.737,23.569,23.424
2022-10-08 23:00:00,24.074,24.195,24.195,24.122,24.122,24.05,23.833,23.761,23.593,23.424
2022-10-09 00:00:00,23.978,24.146,24.171,24.122,24.098,24.026,23.857,23.785,23.617,23.424
2022-10-09 01:00:00,23.905,24.219,24.219,24.171,24.171,24.074,23.905,23.761,23.617,23.424
2022-10-09 02:00:00,24.074,24.219,24.195,24.122,24.074,23.954,23.857,23.713,23.641,23.424
2022-10-09 03:00:00,24.146,24.46,24.267,24.122,24.098,23.954,23.833,23.713,23.617,23.424
2022-10-09 04:00:00,24.146,24.557,24.412,24.122,24.122,24.122,23.93,23.809,23.641,23.424
2022-10-09 05:00:00,24.195,24.557,24.291,24.074,24.05,24.002,23.93,23.809,23.665,23.424
2022-10-09 06:00:00,24.243,24.508,24.267,24.05,24.026,24.05,23.978,23.881,23.737,23.424
2022-10-09 07:00:00,25.065,24.726,24.363,24.05,24.098,24.122,24.002,23.809,23.593,23.4
2022-10-09 08:00:00,25.162,25.137,24.315,24.122,24.146,24.171,24.026,23.785,23.521,23.424
2022-10-09 09:00:00,25.623,25.525,24.581,24.195,24.171,24.171,23.881,23.737,23.545,23.4
2022-10-09 10:00:00,25.501,25.162,24.532,24.339,24.315,24.243,23.809,23.665,23.497,23.4
2022-10-09 11:00:00,25.987,25.258,24.944,24.46,24.46,24.315,24.026,23.689,23.497,23.4
2022-10-09 12:00:00,26.5,25.186,25.04,24.677,24.532,24.291,23.905,23.665,23.472,23.424
2022-10-09 13:00:00,27.112,25.089,25.04,24.871,24.75,24.702,23.881,23.665,23.472,23.424
2022-10-09 14:00:00,25.647,24.919,24.919,24.871,24.871,24.774,23.833,23.737,23.472,23.4
2022-10-09 15:00:00,25.695,24.895,24.895,24.847,24.847,24.847,23.857,23.713,23.448,23.4
2022-10-09 16:00:00,25.307,25.016,24.919,24.847,24.823,24.581,23.833,23.569,23.448,23.4
2022-10-09 17:00:00,25.065,25.04,24.847,24.726,24.75,24.412,23.857,23.569,23.448,23.4
2022-10-09 18:00:00,24.895,25.065,24.895,24.677,24.653,24.46,23.833,23.569,23.448,23.4
